Asset_ID,Cust_ID,Asset_Name,Asset_Category,Asset_Purchasedate,Asset_Solddate,Asset_Purchaseprice,Asset_Soldprice,
BO-0136,53-9110813,Savings,Bond,16/08/2022,,37385.58,,7
BO-0307,85-7429741,Corporate,Bond,7/10/2019,13/09/2021,73441.42,132889.31,7
BO-0953,64-6670098,Municipal,Bond,18/03/2020,,19569.11,,7
BO-0289,14-6850713,Municipal,Bond,23/02/2021,,27245.02,,7
BO-0987,86-3562435,Security,Bond,18/11/2022,,71536.84,,7
BO-0830,96-8293728,Savings,Bond,7/06/2019,,1315.72,,7
BO-0532,23-9054035,Savings,Bond,25/10/2021,,62731.09,,7
BO-0174,00-5451820,Government,Bond,19/12/2020,16/01/2021,75973.3,75973.3,7
BO-0451,56-5057834,Corporate,Bond,5/12/2022,,25234.75,,7
BO-0279,13-7969390,Savings,Bond,9/07/2022,,33530.37,,7
BO-0988,22-2793953,Savings,Bond,29/07/2021,,15330.63,,7
BO-0830,11-1428079,Inflation-Indexed,Bond,19/12/2018,,39164.2,,7
BO-0689,06-5318552,Inflation-Indexed,Bond,9/06/2020,,66411.32,,7
BO-0609,46-1966261,Municipal,Bond,16/12/2020,,12425.19,,7
BO-0634,51-8271143,Municipal,Bond,24/01/2022,24/01/2022,10493.94,10493.94,7
BO-0334,89-2227138,Corporate,Bond,20/03/2019,,31874.88,,7
BO-0898,53-1643148,Corporate,Bond,23/10/2019,,68294.79,,7
BO-0171,53-3092690,Government,Bond,4/07/2022,30/10/2022,18186.76,18186.76,7
BO-0701,20-1950291,Corporate,Bond,17/12/2022,,40329.41,,7
BO-0210,75-4377347,Inflation-Indexed,Bond,23/04/2022,27/07/2022,15978.18,15978.18,7
BO-0200,30-1313111,Security,Bond,27/03/2022,,69453.68,,7
BO-0519,70-8391711,Security,Bond,24/12/2020,7/03/2021,93799.47,188161.21,7
BO-0126,11-1279501,Government,Bond,12/11/2021,23/04/2022,25636.33,131800.44,7
BO-0473,78-0455772,Savings,Bond,1/07/2022,,59683.66,,7
BO-0423,70-8593932,Municipal,Bond,29/05/2020,25/06/2022,66904.64,30949.64,7
BO-0139,12-5764493,Municipal,Bond,13/04/2022,,42911.4,,7
BO-0971,10-1535873,Savings,Bond,5/10/2019,,97319.29,,7
BO-0589,59-2535928,Security,Bond,22/12/2021,22/12/2021,32393.26,185266.94,7
BO-0606,20-2048878,Security,Bond,10/04/2022,,61461.94,,7
BO-0363,20-4103995,Corporate,Bond,6/06/2021,6/06/2021,81916.89,44482.36,7
BO-0995,82-5807233,Government,Bond,14/04/2020,,45072.45,,7
BO-0753,41-2506214,Savings,Bond,3/08/2019,,38306.66,,7
BO-0955,98-9393140,Corporate,Bond,12/09/2020,30/11/2020,74815.2,128665.79,7
BO-0591,41-9304710,Inflation-Indexed,Bond,9/01/2023,9/01/2023,98353.32,197889.8,7
BO-0551,60-5905538,Inflation-Indexed,Bond,7/03/2021,12/01/2023,70501.23,114173.5,7
BO-0869,19-0098221,Savings,Bond,27/05/2021,27/05/2021,72074.23,186684.89,7
BO-0625,66-7086770,Savings,Bond,11/09/2021,11/09/2021,64079.52,116103.74,7
BO-0560,34-5461228,Inflation-Indexed,Bond,10/11/2018,,10448.46,,7
BO-0297,78-1395396,Savings,Bond,18/10/2019,18/10/2019,7170.51,155839.61,7
BO-0312,56-4175249,Corporate,Bond,8/08/2020,,52630.5,,7
BO-0793,88-5737707,Government,Bond,7/10/2021,7/10/2021,60560.46,36286.13,7
BO-0965,12-5764493,Government,Bond,14/09/2020,14/09/2020,74504.26,173811.54,7
BO-0711,60-5336229,Security,Bond,16/10/2020,,93590.77,,7
BO-0472,41-4640165,Savings,Bond,3/08/2020,3/08/2020,76520.98,178471.6,7
BO-0171,87-3782476,Savings,Bond,20/10/2021,,80521.06,,7
BO-0737,44-2878309,Security,Bond,20/05/2019,,2426.42,,7
BO-0633,47-5794925,Inflation-Indexed,Bond,3/01/2023,,37245.43,,7
BO-0856,12-6233195,Security,Bond,30/12/2018,5/08/2020,97751.26,142683.47,7
BO-0529,13-3383447,Inflation-Indexed,Bond,17/05/2019,,45047.39,,7
BO-0186,86-8198438,Security,Bond,9/08/2020,,83764.79,,7
BO-0773,41-2506214,Municipal,Bond,31/01/2019,,50177.93,,7
BO-0808,88-3958889,Municipal,Bond,28/09/2020,27/12/2021,20142.63,159633.66,7
BO-0662,86-1762831,Security,Bond,15/01/2023,15/01/2023,2828.1,147012.7,7
BO-0801,30-7521891,Corporate,Bond,2/09/2020,,28840.12,,7
BO-0994,98-1739006,Security,Bond,22/08/2020,,90731.64,,7
BO-0648,19-2111002,Government,Bond,4/01/2019,,28732.95,,7
BO-0269,22-3437762,Inflation-Indexed,Bond,24/12/2019,,94264.6,,7
BO-0438,05-1628420,Savings,Bond,17/08/2019,,43479.47,,7
BO-0400,83-4301546,Security,Bond,6/04/2020,,8887.01,,7
BO-0474,53-7606211,Corporate,Bond,23/12/2020,,24432.33,,7
BO-0703,30-3437319,Inflation-Indexed,Bond,28/05/2019,,95180.81,,7
BO-0447,02-3852966,Inflation-Indexed,Bond,14/01/2022,,15585.51,,7
BO-0458,83-4301546,Security,Bond,22/04/2021,2/01/2023,96688.16,125134.08,7
BO-0351,18-0187593,Government,Bond,22/09/2018,,26876.68,,7
BO-0557,04-7136052,Government,Bond,28/11/2019,28/11/2019,90127.96,127872.45,7
BO-0579,27-1479611,Savings,Bond,3/07/2020,3/07/2020,8386.37,140148.77,7
BO-0135,06-0786675,Municipal,Bond,8/06/2020,,80080.67,,7
BO-0537,55-4348132,Security,Bond,19/12/2019,,53540.8,,7
BO-0125,84-6869084,Savings,Bond,5/11/2020,5/11/2020,59175.27,121748.99,7
BO-0709,51-4752199,Security,Bond,19/03/2021,,96331.11,,7
BO-0771,96-8293728,Corporate,Bond,19/06/2021,,30483.33,,7
BO-0799,99-5342177,Municipal,Bond,26/02/2020,,14746.96,,7
BO-0436,94-3719554,Security,Bond,7/02/2021,,88618.97,,7
BO-0721,29-6904514,Government,Bond,28/05/2019,,39613.07,,7
BO-0759,62-5020977,Savings,Bond,21/11/2020,,2485.71,,7
BO-0626,17-6843821,Corporate,Bond,12/06/2020,27/12/2021,74787.98,74787.98,7
BO-0636,86-6405439,Government,Bond,20/04/2020,,29734.25,,7
BO-0207,33-4625934,Security,Bond,10/10/2018,26/10/2022,4583.69,44627.81,7
BO-0807,52-8928272,Security,Bond,14/12/2018,18/04/2019,84689.51,136718.86,7
BO-0264,61-5183451,Security,Bond,14/07/2022,,37016.42,,7
BO-0359,65-2934907,Municipal,Bond,19/04/2019,,96075.9,,7
BO-0579,78-9829079,Security,Bond,18/10/2022,,5124.65,,7
BO-0127,58-2908009,Security,Bond,6/01/2020,,87134.19,,7
BO-0192,19-7182093,Savings,Bond,19/11/2022,,98802.88,,7
BO-0382,84-2674029,Inflation-Indexed,Bond,27/12/2018,,18344.59,,7
BO-0678,72-8772844,Corporate,Bond,6/08/2020,,54384.04,,7
BO-0671,73-8117840,Savings,Bond,4/03/2021,4/03/2021,44301.22,186455.04,7
BO-0356,27-4543689,Corporate,Bond,4/08/2021,31/10/2022,65752.31,42825.43,7
BO-0541,69-4563613,Corporate,Bond,27/12/2020,,8615.92,,7
BO-0659,86-8198438,Corporate,Bond,8/08/2021,,52887.79,,7
BO-0266,63-4364735,Inflation-Indexed,Bond,20/01/2019,,75229.64,,7
BO-0851,59-2535928,Government,Bond,19/06/2020,19/06/2020,58950.84,134646.73,7
BO-0402,18-7555338,Inflation-Indexed,Bond,2/12/2018,3/09/2020,60616.59,102074.71,7
BO-0780,82-0624682,Corporate,Bond,8/02/2022,2/08/2022,11105.23,11105.23,7
BO-0781,52-7154369,Government,Bond,18/06/2022,,56559.19,,7
BO-0125,36-2383711,Security,Bond,24/08/2021,24/08/2021,25340.82,131806.61,7
BO-0939,34-4489139,Municipal,Bond,29/04/2022,29/04/2022,36820.58,155945.61,7
BO-0896,76-1585323,Security,Bond,25/05/2021,,12313.71,,7
BO-0186,46-9366183,Inflation-Indexed,Bond,24/01/2022,,52678.2,,7
BO-0690,94-7727639,Inflation-Indexed,Bond,29/11/2021,,1945.84,,7
BO-0682,00-3477380,Municipal,Bond,7/09/2022,,61622.39,,7
BO-0735,56-1248369,Municipal,Bond,5/08/2022,,14746.87,,7
BO-0327,69-7459812,Municipal,Bond,26/01/2019,4/02/2021,82103.03,82103.03,7
BO-0320,65-9330546,Corporate,Bond,20/10/2019,,46580.71,,7
BO-0102,20-2029323,Government,Bond,28/04/2021,,39866.26,,7
BO-0836,27-4543689,Municipal,Bond,1/10/2021,,71036.26,,7
BO-0415,05-4396717,Savings,Bond,12/04/2021,12/04/2021,1763.41,157087.85,7
BO-0260,58-7174959,Inflation-Indexed,Bond,6/08/2022,,17018.96,,7
BO-0160,66-0061844,Municipal,Bond,16/03/2020,,87063.87,,7
BO-0867,26-3232704,Government,Bond,16/05/2021,,79118.09,,7
BO-0550,61-0126991,Municipal,Bond,3/02/2022,,99350.94,,7
BO-0699,10-9697268,Municipal,Bond,5/04/2019,16/05/2021,72866.27,119663.59,7
BO-0986,70-4905109,Corporate,Bond,21/04/2020,,27300.94,,7
BO-0155,77-6711793,Municipal,Bond,7/07/2021,,24008.41,,7
BO-0635,32-0035285,Corporate,Bond,13/02/2020,9/06/2021,71200.05,181775.14,7
BO-0746,54-4898148,Corporate,Bond,16/10/2020,29/12/2022,69563.93,139938.37,7
BO-0524,25-0762496,Corporate,Bond,28/07/2021,,71438.04,,7
BO-0183,39-7513268,Savings,Bond,16/11/2022,18/02/2023,5285.16,42106.54,7
BO-0647,39-7513268,Corporate,Bond,10/04/2019,31/05/2020,90948.69,161808.49,7
BO-0585,58-8719261,Municipal,Bond,18/04/2020,9/07/2021,74330.77,195663.18,7
BO-0642,22-3557618,Corporate,Bond,8/08/2020,,26969,,7
BO-0892,19-3691784,Municipal,Bond,7/12/2021,,61772.14,,7
BO-0437,62-5049026,Government,Bond,18/03/2022,18/03/2022,76646.95,199744.38,7
BO-0573,89-1979637,Savings,Bond,23/09/2019,28/04/2022,7268.65,122231.32,7
BO-0830,61-3836241,Corporate,Bond,14/06/2020,5/09/2020,21278.52,21278.52,7
BO-0635,89-8004448,Corporate,Bond,24/01/2023,24/01/2023,73764.41,54311.47,7
BO-0233,01-8597193,Savings,Bond,7/10/2020,12/05/2021,80825.93,129495.9,7
BO-0216,60-5336229,Government,Bond,22/07/2021,10/05/2022,22921.69,22921.69,7
BO-0373,20-1855652,Security,Bond,15/01/2023,15/01/2023,59976.14,194874.32,7
BO-0597,90-7592445,Security,Bond,28/01/2021,,66066.92,,7
BO-0214,15-5498124,Corporate,Bond,2/05/2019,16/06/2020,11171.61,11171.61,7
BO-0606,09-7895024,Savings,Bond,29/06/2022,29/06/2022,412.2,412.2,7
BO-0277,95-9918829,Savings,Bond,4/03/2021,4/03/2021,17724.35,17724.35,7
BO-0315,29-6022016,Inflation-Indexed,Bond,30/08/2020,4/09/2020,43863.2,37283.29,7
BO-0382,62-1292889,Inflation-Indexed,Bond,20/04/2019,25/04/2022,9323.07,91463.47,7
BO-0722,41-7934361,Municipal,Bond,12/03/2019,,64616.74,,7
BO-0133,87-1610912,Inflation-Indexed,Bond,10/06/2021,,18973.02,,7
BO-0159,18-6661349,Security,Bond,23/04/2022,,43777.96,,7
BO-0543,60-4259217,Government,Bond,15/07/2022,,15387.27,,7
BO-0972,84-5769740,Inflation-Indexed,Bond,2/08/2021,,94638.38,,7
BO-0833,10-4259999,Corporate,Bond,23/05/2021,,12573.73,,7
BO-0633,85-3801362,Savings,Bond,23/12/2018,19/04/2023,33147.79,180280.03,7
BO-0319,93-0291748,Savings,Bond,11/02/2020,11/02/2020,49638.14,170680.65,7
BO-0129,49-0574969,Municipal,Bond,8/09/2018,5/05/2021,86826.51,145748.61,7
BO-0460,67-0604126,Government,Bond,29/11/2021,,86984.83,,7
BO-0241,24-2654268,Government,Bond,27/02/2020,11/09/2021,52945.67,153480.35,7
BO-0448,31-5506638,Corporate,Bond,29/11/2018,13/12/2020,42825.03,174630.76,7
BO-0858,25-7622906,Corporate,Bond,12/06/2022,12/11/2022,47859.73,47859.73,7
BO-0996,72-5626017,Security,Bond,30/06/2021,,43718.19,,7
BO-0468,99-5342177,Savings,Bond,30/09/2018,15/05/2022,79235.84,29974.62,7
BO-0241,32-1060761,Municipal,Bond,20/12/2022,20/12/2022,90840.3,164893.1,7
BO-0987,87-1111036,Security,Bond,15/11/2019,29/03/2020,91253.77,141819.83,7
BO-0861,59-6085123,Government,Bond,13/03/2021,13/03/2021,55911.3,20730.35,7
BO-0508,61-6757637,Government,Bond,24/07/2020,24/07/2020,22412.46,188916.28,7
BO-0731,48-6591675,Corporate,Bond,15/02/2020,15/11/2022,35068.84,145260.33,7
BO-0743,28-1608168,Security,Bond,28/02/2020,28/02/2020,10434.28,10434.28,7
BO-0874,61-0126991,Security,Bond,6/05/2021,12/05/2022,19869.32,153840.19,7
BO-0796,04-0662716,Municipal,Bond,5/08/2022,5/08/2022,98547.61,171335.06,7
BO-0985,03-9015489,Corporate,Bond,22/02/2021,,2460.57,,7
BO-0325,29-1197358,Municipal,Bond,29/12/2020,21/02/2022,61595.68,19202.53,7
BO-0881,98-9393140,Savings,Bond,17/08/2020,17/08/2020,93876.91,85530.32,7
BO-0966,25-3773325,Corporate,Bond,23/01/2023,23/01/2023,50078.41,29428.61,7
BO-0304,04-3846836,Government,Bond,9/01/2019,6/11/2019,46162.77,46162.77,7
BO-0855,19-0479412,Inflation-Indexed,Bond,11/11/2018,,22732.28,,7
BO-0517,48-6721300,Government,Bond,17/02/2022,17/02/2022,62848.6,62848.6,7
BO-0211,80-0855955,Municipal,Bond,16/09/2021,,7568.58,,7
BO-0270,11-5488575,Security,Bond,22/12/2021,22/12/2021,88823.76,181157.4,7
BO-0874,82-5807233,Inflation-Indexed,Bond,14/10/2018,,53699.27,,7
BO-0467,81-7683774,Government,Bond,11/09/2021,,51314.68,,7
BO-0271,88-5859045,Inflation-Indexed,Bond,15/01/2023,15/01/2023,53486.75,131959.45,7
BO-0274,83-0622936,Inflation-Indexed,Bond,3/02/2020,11/05/2022,51978.87,40247.75,7
BO-0430,78-0251795,Savings,Bond,5/09/2019,26/08/2020,52397.37,42309.68,7
BO-0938,07-6473150,Inflation-Indexed,Bond,13/11/2019,19/02/2021,4836.86,4836.86,7
BO-0804,27-6914538,Savings,Bond,29/07/2019,18/10/2021,55201.69,197730.49,7
BO-0182,72-8993951,Savings,Bond,9/09/2022,9/09/2022,49738.44,21642.83,7
BO-0835,12-0037516,Government,Bond,16/09/2020,,47411.7,,7
BO-0368,16-6782980,Inflation-Indexed,Bond,5/09/2020,,73604.52,,7
BO-0853,72-1441261,Municipal,Bond,3/12/2021,,293.59,,7
BO-0362,97-5143646,Security,Bond,23/11/2022,,21539.27,,7
BO-0799,21-2764093,Inflation-Indexed,Bond,23/08/2022,23/08/2022,66198.18,66198.18,7
BO-0259,01-5980767,Inflation-Indexed,Bond,19/07/2021,19/07/2021,38098.52,180584.97,7
BO-0970,63-3562919,Government,Bond,2/04/2022,,14367.56,,7
BO-0138,12-5955062,Government,Bond,8/07/2020,,84176.65,,7
BO-0689,03-8129200,Inflation-Indexed,Bond,17/12/2021,17/12/2021,99311.58,197666.76,7
BO-0347,68-8610306,Security,Bond,18/04/2019,25/08/2020,80366.54,38367.78,7
BO-0857,92-2684181,Government,Bond,27/01/2019,22/05/2020,96176.15,111121.49,7
BO-0271,89-9264563,Savings,Bond,10/03/2021,11/06/2021,81357.82,140982.77,7
BO-0398,50-0482499,Corporate,Bond,26/12/2019,22/02/2023,44798.53,44798.53,7
BO-0719,34-0043720,Security,Bond,28/04/2022,28/04/2022,74342.68,179980.31,7
BO-0220,04-1549748,Government,Bond,21/06/2021,15/11/2022,84455.3,76568.6,7
BO-0815,56-6644624,Corporate,Bond,28/11/2021,28/11/2021,5119.94,194966.67,7
BO-0645,96-4509094,Savings,Bond,1/03/2021,7/01/2023,92085.02,47337.03,7
BO-0240,06-6027118,Municipal,Bond,8/10/2021,,68777.37,,7
BO-0238,74-9395032,Corporate,Bond,19/06/2021,,89600.41,,7
BO-0644,67-1048293,Municipal,Bond,2/07/2021,,84029.96,,7
BO-0578,82-9337186,Inflation-Indexed,Bond,17/10/2021,25/12/2021,75957.75,75957.75,7
BO-0215,33-0916312,Savings,Bond,10/02/2022,,27471.9,,7
BO-0559,96-5672857,Savings,Bond,20/12/2020,,82867.4,,7
BO-0832,87-5176028,Security,Bond,13/04/2019,3/01/2020,82979.49,82979.49,7
BO-0790,14-5549373,Government,Bond,15/04/2020,11/08/2021,3226.31,191002.92,7
BO-0978,34-2441075,Government,Bond,28/10/2022,,25454.13,,7
BO-0228,56-6080315,Savings,Bond,2/12/2021,2/12/2021,28074.18,27109.66,7
BO-0765,60-4259217,Savings,Bond,7/06/2019,,66762.51,,7
BO-0881,65-8103929,Security,Bond,6/02/2022,24/12/2022,67833.33,174922.21,7
BO-0472,10-5200773,Inflation-Indexed,Bond,1/09/2022,1/09/2022,32942.37,32942.37,7
BO-0241,80-5339464,Corporate,Bond,17/07/2022,17/07/2022,99066.7,128196.26,7
BO-0989,97-3799355,Municipal,Bond,6/05/2021,,30622.62,,7
BO-0950,59-0055994,Savings,Bond,10/06/2021,,18261.7,,7
BO-0507,63-7322674,Savings,Bond,8/11/2019,3/09/2022,46692.37,164570.2,7
BO-0684,86-4064552,Inflation-Indexed,Bond,9/10/2018,30/10/2019,89161.99,170773.18,7
EQ-0247,32-1060761,Stanton and Sons,Equity,26/09/2022,26/09/2022,97882.94,132203.07,7
EQ-0484,01-3347491,Miller-Schumm,Equity,3/09/2021,3/09/2021,64120.4,145503.01,7
EQ-0364,26-2354745,Cummerata Wilderman and Satterfield,Equity,19/06/2021,17/06/2022,31461.81,118029.63,7
EQ-0305,54-0035633,Goyette LLC,Equity,16/01/2020,25/09/2021,68836.34,56360.64,7
EQ-0643,98-8621329,Lockman Pacocha and Mayert,Equity,7/02/2022,7/02/2022,28584.47,179815.06,7
EQ-0423,98-3530323,Koss-Mills,Equity,2/08/2022,2/08/2022,5823.16,5823.16,7
EQ-0543,45-5089824,Casper Group,Equity,28/07/2019,,70774.16,,7
EQ-0680,41-9304710,Smitham-Hintz,Equity,5/11/2018,,9740.8,,7
EQ-0917,04-3846836,Gorczany-Schmeler,Equity,25/10/2022,,54477.92,,7
EQ-0712,47-9925358,Herzog and Sons,Equity,15/09/2021,27/10/2021,63606.24,63606.24,7
EQ-0601,84-6869084,Kulas LLC,Equity,6/06/2019,,45502.05,,7
EQ-0793,82-8407980,Howell Schamberger and Anderson,Equity,30/11/2021,,16759.46,,7
EQ-0425,96-7234942,Dach O'Kon and Little,Equity,20/04/2022,,5080.03,,7
EQ-0299,98-7125320,Huel and Sons,Equity,29/10/2019,3/02/2023,80508.94,27798.29,7
EQ-0191,34-7581308,Barton and Sons,Equity,16/07/2022,16/07/2022,13439.67,123774.53,7
EQ-0315,23-3915702,Sauer Yundt and Lebsack,Equity,27/11/2020,4/12/2022,25582.76,139976.8,7
EQ-0147,23-9799299,Rath Inc,Equity,23/03/2022,23/03/2022,82953.72,189624.28,7
EQ-0157,24-3675629,Hane LLC,Equity,15/12/2018,,43146.69,,7
EQ-0366,65-4390456,Larson-Maggio,Equity,24/02/2022,10/01/2023,73928.7,69421.68,7
EQ-0857,31-7724031,Denesik Wintheiser and Padberg,Equity,5/06/2020,,43135.3,,7
EQ-0525,67-5360180,Harvey Group,Equity,27/10/2020,27/04/2021,34221.16,196910.79,7
EQ-0462,33-2626105,Christiansen-Paucek,Equity,29/04/2021,23/08/2022,46425.03,156386.7,7
EQ-0968,18-7038825,Russel Pfannerstill and Stiedemann,Equity,18/02/2022,18/02/2022,26044.07,139328.94,7
EQ-0247,88-6842009,Mraz Jast and Wilderman,Equity,22/10/2021,,78336.49,,7
EQ-0575,71-7480165,Marquardt-Hammes,Equity,28/03/2022,2/05/2022,18714.06,18714.06,7
EQ-0889,25-0762496,Fisher-Witting,Equity,29/06/2019,20/01/2022,37499.86,166118.63,7
EQ-0681,64-8726019,McClure Lemke and Boyer,Equity,8/09/2021,8/09/2021,10512.41,10512.41,7
EQ-0975,98-8621329,Roob-Dickinson,Equity,12/12/2022,12/12/2022,47226.5,116982.72,7
EQ-0682,77-7606080,Kohler LLC,Equity,17/11/2020,10/11/2021,22136.42,189308.9,7
EQ-0733,92-8893675,Conroy Marquardt and Murray,Equity,25/04/2019,,78156.67,,7
EQ-0637,63-1674154,Greenfelder Borer and Nolan,Equity,21/04/2019,,72139.27,,7
EQ-0184,60-3409336,Batz Inc,Equity,24/08/2020,,39321.43,,7
EQ-0409,12-0037516,Prohaska-Pollich,Equity,22/05/2022,,92953.42,,7
EQ-0779,92-0760640,Veum-Kunde,Equity,19/02/2020,,64043.71,,7
EQ-0750,95-9918829,Osinski-Herzog,Equity,22/05/2019,13/04/2020,91004.68,31954.16,7
EQ-0720,69-7459812,Metz-Larson,Equity,26/08/2021,26/08/2021,53792.64,131369.51,7
EQ-0419,39-5200265,Rowe-Rutherford,Equity,24/01/2019,,69762.52,,7
EQ-0453,54-1629397,Wisozk Thompson and Sporer,Equity,11/09/2019,,13620.11,,7
EQ-0273,85-1311437,Wolff and Sons,Equity,1/01/2020,,7126.35,,7
EQ-0708,82-0624682,Hodkiewicz LLC,Equity,22/07/2022,22/07/2022,53011.19,165299.63,7
EQ-0931,72-9905989,Bradtke Inc,Equity,31/01/2020,,84707.36,,7
EQ-0420,67-0964045,Ebert-Medhurst,Equity,19/12/2020,19/12/2020,52870.35,196625.21,7
EQ-0385,06-0786675,Cronin-Weber,Equity,1/10/2020,1/10/2020,13707.36,108587.32,7
EQ-0977,10-0136567,Witting-Greenholt,Equity,1/03/2022,1/03/2022,66630.23,128393.04,7
EQ-0170,22-7347988,Spencer-Aufderhar,Equity,22/08/2021,22/08/2021,13592.29,13592.29,7
EQ-0120,55-4348132,Schroeder Inc,Equity,17/05/2022,,14115.66,,7
EQ-0320,05-1628420,Nolan-Bode,Equity,22/09/2022,22/09/2022,39340.44,29936.65,7
EQ-0316,15-5498124,Fisher Stiedemann and Bashirian,Equity,24/08/2021,24/08/2021,32349.84,177788.55,7
EQ-0556,56-1557858,Ratke and Sons,Equity,11/10/2021,,75312.09,,7
EQ-0639,23-2928675,Schinner Group,Equity,30/07/2022,,84073.29,,7
EQ-0133,31-9370420,Upton Nitzsche and Glover,Equity,30/10/2020,,50586.38,,7
EQ-0600,45-5361509,Marks-Hahn,Equity,7/02/2021,,65461.27,,7
EQ-0725,16-8351393,Gibson Kutch and Cummerata,Equity,12/07/2021,,93277.88,,7
EQ-0340,20-1950291,O'Conner Dickens and Stiedemann,Equity,29/03/2021,9/02/2023,86984.62,27900.71,7
EQ-0514,37-6282879,Cremin and Sons,Equity,14/05/2022,,96872.26,,7
EQ-0524,81-2203721,Mayer Witting and Morar,Equity,14/01/2019,11/11/2019,47548.14,134209.65,7
EQ-0922,14-1489272,Aufderhar Schneider and Boehm,Equity,26/01/2019,,20237.61,,7
EQ-0188,13-3999427,Osinski-Braun,Equity,19/12/2021,19/12/2021,96374.49,33436.33,7
EQ-0388,98-1673697,Bogisich-Cruickshank,Equity,14/03/2022,,79140.8,,7
EQ-0214,85-3801362,Spencer LLC,Equity,18/01/2019,3/08/2021,97926.9,126596.35,7
EQ-0432,88-9845193,Bergstrom Group,Equity,13/12/2020,,45168.16,,7
EQ-0491,32-6608881,Walker-Witting,Equity,26/09/2019,26/09/2019,51344.93,166951.46,7
EQ-0994,86-8198438,O'Kon-Rippin,Equity,14/09/2022,26/01/2023,40258.69,40258.69,7
EQ-0910,54-7040582,Boyer-Lind,Equity,7/06/2022,7/06/2022,73942.39,145757.34,7
EQ-0423,88-1606969,Lang LLC,Equity,16/05/2021,16/05/2021,17335.01,17335.01,7
EQ-0581,87-8287760,Conroy-Considine,Equity,18/04/2021,,41800.2,,7
